C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
-1.122180,-0.574227,0.158342,-1.039419,0.514793,0.987683,-0.874570,-0.015403,-1.105163,0.372722,0.206050,-1.776650,2.901627,0.427585,2.502099,0.062621,0
2.940749,-0.280498,-0.100597,-1.197543,-1.454686,2.035010,-0.258725,-2.081717,-0.292900,-0.375898,1.502717,0.401272,1.004723,-0.928542,0.015114,-0.485346,0
0.046026,0.173314,-0.364151,0.273730,-0.254284,0.580987,0.273731,0.968387,-0.235496,0.840322,0.575085,-2.437572,-0.078426,-0.291914,2.025317,0.600758,1
0.522497,-0.596292,-0.363147,-0.828212,1.155754,-0.123524,-0.969519,-1.707922,0.906732,0.801318,-0.023524,-0.137619,0.175495,-0.276538,-1.118146,-0.153894,1
-0.333569,0.278984,-0.262549,0.712893,0.264102,1.841594,0.374125,-0.711393,0.808481,-0.137796,-1.156699,0.416866,1.324748,1.952467,-0.117037,0.219182,1
-0.661949,0.373087,0.777835,0.279512,-1.313481,-0.816530,0.664905,-0.479133,1.388879,0.861596,-0.374868,0.547022,0.951830,1.164694,-2.216942,0.539043,1
0.084963,-0.666077,-0.335129,-1.018937,1.059014,-1.565041,-1.060072,0.387567,0.122480,-0.410723,1.041416,-0.281768,0.241615,0.942664,-0.393888,-0.889346,1
-1.313833,-0.461893,0.506848,-0.107628,2.215820,-0.142528,-0.881405,-0.184908,-0.983793,-0.011546,-0.498065,-0.050710,-0.000650,0.284358,-0.054061,-0.185384,1
0.227794,-0.593685,-0.985405,-0.923801,0.905316,0.533447,-0.941047,-1.092953,-0.403721,0.807683,0.172611,0.293974,-0.786248,0.314709,-0.926788,-0.571105,1
-0.069464,0.298192,-0.082316,2.029524,3.417410,-0.159434,0.090284,-2.295836,0.429262,0.613616,1.168065,-1.773950,-0.025457,2.134269,-0.069051,0.368383,1
-1.803872,0.418158,0.112099,0.362446,-1.350545,-0.306803,0.733219,0.387826,-2.048942,-2.131264,0.881245,0.159592,0.741538,0.672487,0.433569,1.407267,0
0.064578,0.316028,-1.001500,1.229388,1.342532,0.599126,0.320767,-0.655654,1.202403,0.234776,-1.496351,-0.533303,0.514922,-0.205317,-0.450327,-0.583526,1
-0.811671,-0.800641,1.000851,-1.424714,0.778469,0.643439,-1.225401,-0.820431,-2.035727,-1.147976,-0.174592,-0.054755,0.241684,-0.070953,1.991825,0.327844,1
-1.008273,-0.337543,2.505971,-1.355320,-1.538391,0.294407,-0.332290,0.426900,-0.353663,0.069029,0.944683,-1.733583,1.069281,-0.593754,-0.776161,-0.741465,0
0.348179,-0.448330,0.675037,-0.756026,0.539209,1.435554,-0.696381,-1.091294,1.038489,0.185931,-2.032526,-1.854475,0.671658,-0.163755,-1.811349,0.927258,0
0.014754,-0.395015,-0.878787,-0.999587,-0.349704,-0.187183,-0.532118,0.111170,-1.086438,-1.593602,-1.502887,-1.283024,-0.812771,-0.084341,0.248235,-1.039966,0
0.661039,-0.134171,0.399297,-1.317004,-2.536460,0.168796,0.058010,0.932461,0.384604,-0.318518,-1.724427,1.080999,0.640211,0.763471,0.127514,-0.070413,0
-0.796904,0.290204,-0.454436,1.100710,1.163029,0.558009,0.301449,-1.401739,-0.776735,2.397746,1.119136,1.012666,1.147731,-0.082615,-0.278257,0.816489,1
-0.206140,-0.241844,0.085927,-0.362308,0.403450,-0.636768,-0.386769,0.358733,-1.238670,1.194348,-0.891162,0.886814,1.433796,0.301324,-0.380628,-0.662380,0
-1.464232,-0.706749,1.328437,-1.131786,0.998453,0.391818,-1.112436,-2.216746,0.207094,0.179549,0.383591,0.105149,-2.161261,0.804827,-0.927972,-1.320377,1
0.186236,-0.270402,-0.710621,-0.704709,-0.289976,-1.428822,-0.359258,-0.982964,-2.200954,-0.489820,-0.162935,1.167520,2.006102,0.769784,-0.360462,1.054342,0
2.919489,-0.564065,-0.722797,-0.892492,0.823586,0.643179,-0.890486,-0.466644,0.826486,0.131899,0.213997,1.653778,-0.139244,1.522207,0.574170,0.026963,1
-1.318710,1.632559,-0.928742,2.317069,-3.041730,-2.030950,2.642295,-0.091641,-0.442809,0.677533,0.397856,0.713297,0.109551,1.395462,1.708117,-0.286120,0
1.167166,1.354439,-2.036615,1.571160,-3.392141,-1.008546,2.277934,0.163892,-1.803442,1.262668,0.343855,-0.210890,0.960969,-1.776154,-0.588150,0.839851,0
-0.585423,0.883015,-0.313720,1.528147,-0.965285,0.568892,1.362016,0.640103,0.099553,0.513803,0.284547,-0.810961,2.599851,-1.211677,0.377601,0.049082,0
1.164523,-0.099611,-1.519274,0.536737,1.862818,-0.775758,-0.326849,0.823973,-0.038209,-0.380161,0.864804,-0.968603,-0.468576,0.034364,0.186494,0.617738,0
-0.471888,0.260743,1.061719,1.271520,1.743818,0.975743,0.201833,0.867008,0.484612,-0.259739,-1.418084,-0.626736,0.045087,0.259442,-0.518775,-0.934695,1
0.468965,-0.642524,0.308977,-0.879265,1.277910,0.987376,-1.047901,1.719188,-0.068208,0.930249,-0.964008,1.236351,-0.486248,0.486817,1.926027,-0.589821,1
-1.713505,-0.323239,-0.144393,-0.858397,-0.386182,-0.626254,-0.425552,-1.549972,0.283984,1.149387,0.014535,-0.234379,-0.235624,0.025883,0.048755,-1.719633,0
-1.120219,0.583094,0.209403,0.920674,-0.856141,1.059017,0.920999,-1.155238,-0.251007,-0.811016,1.307171,0.604166,-0.646517,-1.646992,-1.018505,2.192456,0
-0.348810,0.553873,0.881746,0.575386,-1.553142,0.553041,0.947910,1.417461,1.277133,1.270038,0.116006,-1.647639,-0.660688,0.793567,0.963316,-1.262161,0
0.031812,0.440087,1.018215,1.132582,0.436447,-1.139666,0.588209,-1.276383,0.786140,-2.037906,-0.594855,0.801025,-0.703072,-1.519204,2.039844,-0.404886,0
0.258239,0.271955,-0.121924,0.624147,0.082372,-0.106391,0.381987,1.006232,0.146887,1.477404,1.060113,-0.398341,0.824957,1.629540,0.264695,0.339222,0
0.992007,0.308155,0.107021,1.090534,1.041397,-0.586171,0.339211,0.324905,0.723885,-0.044050,-0.004971,-0.255915,-1.582913,1.725611,-0.133640,-1.251770,1
1.226456,0.487042,0.283272,0.460135,-1.479082,-0.656449,0.844728,0.579147,-0.666063,-0.386873,-0.676050,0.989514,0.182713,0.351862,-1.863704,-0.522109,0
-0.339085,-0.349086,1.818696,-1.691237,-2.307214,-0.267508,-0.272926,0.613162,0.730926,1.012819,-0.471053,-1.980033,-1.333046,-0.026627,-0.979667,0.309798,0
0.542229,0.324473,-1.153181,1.025188,0.792086,-0.247119,0.387239,-0.192199,-1.964301,0.324899,0.248813,0.878815,-0.093434,-0.628323,-0.267862,-0.705818,1
1.717438,-0.573150,1.048534,-0.597198,1.602782,-0.701409,-0.980466,0.531307,0.347726,-0.498459,-0.629025,-0.694587,0.426331,-0.460614,-0.277761,-0.126887,1
-2.117903,-0.138425,0.457905,-1.221156,-2.276535,0.256311,0.026240,-0.697778,-0.653337,0.507060,0.270657,1.041547,-0.347456,1.772191,-0.890673,1.038268,0
-1.602766,0.506456,0.033141,0.282243,-2.023396,0.079529,0.926329,-0.705366,1.669707,0.401948,1.477727,0.781283,0.787295,-0.875207,-0.902284,-1.747274,0
0.063354,0.209613,0.979530,0.838011,0.946337,0.492729,0.207240,0.400739,-0.531748,0.945419,0.706400,0.087256,1.344009,0.657262,-0.515238,0.222474,1
0.668180,-0.597961,0.180676,-0.981925,0.784534,-0.640679,-0.935255,-0.344710,-1.088108,-1.538207,0.603722,1.072024,-0.897053,0.769118,-1.580794,1.223589,1
0.950676,-0.513142,1.840700,-1.346509,-0.573005,0.003093,-0.679521,-0.048388,0.664056,0.780929,0.832773,-0.744330,1.429349,-0.490280,0.294620,-1.553112,0
1.535774,0.164720,-0.860363,0.697556,0.840179,1.463734,0.153322,1.761761,1.138774,0.594263,-0.884948,0.321421,1.618946,-0.198354,0.502378,-1.232007,1
-0.525292,0.333664,0.641733,1.617676,2.208142,1.711076,0.260586,-1.087963,-0.712432,-0.915086,-1.065815,-0.595812,0.145374,1.348985,-0.243327,-0.184784,1
-2.028023,0.054648,-1.199461,-1.244502,-3.371773,0.326825,0.411361,-1.394399,-0.776975,1.045049,-2.257103,0.031230,0.710279,-1.763407,0.792446,-0.689035,0
-0.981891,-0.169467,0.026644,-0.962574,-1.470157,-0.882148,-0.097921,0.380386,-0.064257,2.262516,1.568213,0.136272,0.618237,0.333205,0.897229,0.905809,0
1.865000,0.695554,-2.846995,1.149749,-0.893865,-0.305696,1.086048,-0.361890,0.296419,1.249926,-2.192290,0.491997,0.167723,0.689992,0.209237,0.233021,0
